order_id,customer_id,status,salesman_id,order_date
1,4,Pending,56,2015/10/17
2,4,Shipped,,2026/2/15
3,5,Shipped,,2026/2/17
4,8,Shipped,59,2009/2/15
5,5,Canceled,56,2009/2/17
6,6,Shipped,,2009/2/15
7,7,Shipped,,2015/2/17
8,8,Shipped,,2014/2/17
9,9,Shipped,,2014/2/17
10,44,Pending,,2024/9/17
11,45,Shipped,,2029/11/16
12,46,Shipped,,2029/11/16
13,47,Shipped,,2029/11/16
14,48,Shipped,,2028/9/17
15,49,Shipped,,2027/9/17
16,16,Pending,,2027/9/16
17,17,Shipped,,2027/9/17
18,18,Shipped,,2016/9/16
19,19,Shipped,,2027/5/16
20,20,Shipped,,2027/5/17
21,21,Pending,,2027/5/17
22,22,Canceled,,2026/5/16
23,23,Shipped,,2007/9/16
24,41,Shipped,,2007/9/16
25,42,Shipped,,2024/9/16
26,46,Shipped,62,2016/9/16
27,43,Canceled,,2016/9/16
28,6,Canceled,57,2015/9/17
29,44,Shipped,,2014/9/17
30,45,Shipped,,2012/9/17
31,46,Canceled,,2012/9/17
32,47,Shipped,,2009/3/17
33,48,Shipped,,2007/3/17
34,49,Shipped,,2012/6/16
35,50,Shipped,,2005/9/16
36,51,Shipped,,2005/9/17
37,52,Shipped,,2019/2/17
38,53,Canceled,57,2031/5/15
39,54,Shipped,62,2022/10/16
40,55,Shipped,62,2011/5/17
41,9,Shipped,59,2011/5/17
42,56,Canceled,64,2003/5/15
43,47,Shipped,62,2002/5/15
44,2,Pending,55,2020/2/17
45,57,Shipped,64,2020/2/17
46,58,Pending,62,2020/2/17
47,59,Canceled,62,2010/10/16
48,60,Canceled,64,2010/10/16
49,61,Shipped,55,2002/10/16
50,62,Pending,55,2002/10/16
51,63,Shipped,59,2002/10/16
52,64,Shipped,60,2002/10/16
53,48,Shipped,62,2029/9/16
54,65,Shipped,56,2029/9/16
55,66,Pending,59,2029/9/16
56,67,Canceled,55,2029/9/16
57,68,Shipped,57,2024/9/17
58,69,Shipped,57,2024/9/16
59,70,Shipped,59,2029/6/15
60,1,Shipped,62,2030/6/17
61,2,Shipped,54,2030/6/16
62,3,Shipped,62,2030/6/15
63,4,Shipped,61,2030/6/16
64,5,Shipped,64,2021/6/16
65,6,Shipped,64,2021/6/13
66,7,Canceled,61,2021/6/16
67,8,Canceled,61,2014/6/16
68,9,Pending,,2013/6/16
69,44,Canceled,54,2017/3/17
70,45,Canceled,61,2021/2/17
71,46,Shipped,54,2021/2/17
72,47,Shipped,64,2017/2/16
73,48,Shipped,,2017/2/16
74,49,Shipped,64,2010/2/17
75,16,Shipped,,2010/2/17
76,17,Shipped,55,2010/2/17
77,1,Shipped,60,2002/9/17
78,2,Pending,64,2014/12/15
79,2,Shipped,64,2014/12/16
80,3,Shipped,64,2013/12/16
81,49,Shipped,62,2013/12/16
82,44,Shipped,60,2003/12/16
83,16,Shipped,62,2002/12/16
84,3,Shipped,64,2001/12/15
85,4,Pending,55,2001/12/16
86,5,Pending,60,2030/11/16
87,7,Canceled,57,2001/12/16
88,6,Shipped,61,2001/11/17
89,7,Shipped,55,2027/10/15
90,8,Pending,55,2028/10/15
91,9,Pending,56,2028/10/16
92,44,Shipped,59,2028/10/15
93,17,Shipped,62,2027/10/16
94,1,Shipped,62,2027/10/17
95,45,Shipped,59,2019/9/16
96,46,Shipped,56,2014/9/16
97,47,Canceled,60,2012/7/16
98,48,Shipped,55,2018/3/17
99,49,Shipped,60,2007/9/17
100,16,Pending,54,2005/9/17
101,3,Pending,55,2003/9/17
102,45,Shipped,61,2020/12/16
103,17,Pending,64,2008/2/16
104,18,Shipped,60,2001/2/17
105,1,Pending,54,2017/11/16
