X,Y,Floor,Max_Signal_2_4GHz,Max_Signal_5Hz,Coverage_2_4GHz,Coverage_5GHz
0,0,0,-78.9087,-92.2839,0,0
0,2,0,-66.4907,-79.8659,0,0
0,4,0,-66.0531,-79.4283,0,0
0,6,0,-65.5941,-78.9693,0,0
0,8,0,-65.1119,-78.4871,0,0
0,10,0,-64.6042,-77.9794,1,0
0,12,0,-64.0687,-77.4439,1,0
0,14,0,-63.5028,-76.878,1,0
0,16,0,-62.9037,-76.2789,1,0
0,18,0,-62.2684,-75.6435,1,0
0,20,0,-61.5939,-74.9691,1,0
0,22,0,-60.8779,-74.2531,1,0
0,24,0,-60.1187,-73.4939,1,0
0,26,0,-59.3171,-72.6923,1,0
0,28,0,-58.4781,-71.8533,1,0
0,30,0,-57.6145,-70.9897,1,0
0,32,0,-56.7527,-70.1278,1,0
0,34,0,-62.9396,-76.3148,1,0
0,36,0,-62.2488,-75.624,1,0
0,38,0,-82.7746,-96.1497,0,0
0,40,0,-47.6042,-60.9794,1,1
0,42,0,-82.7746,-96.1497,0,0
0,44,0,-62.2488,-75.624,1,0
0,46,0,-62.9396,-76.3148,1,0
0,48,0,-56.7527,-70.1278,1,0
0,50,0,-57.6145,-70.9897,1,0
0,52,0,-58.4781,-71.8533,1,0
0,54,0,-59.3171,-72.6923,1,0
0,56,0,-60.1187,-73.4939,1,0
0,58,0,-60.8779,-74.2531,1,0
0,60,0,-61.5939,-74.9691,1,0
0,62,0,-62.2684,-75.6435,1,0
0,64,0,-62.9037,-76.2789,1,0
0,66,0,-63.5028,-76.878,1,0
0,68,0,-64.0687,-77.4439,1,0
0,70,0,-64.6042,-77.9794,1,0
0,72,0,-65.1119,-78.4871,0,0
0,74,0,-65.5941,-78.9693,0,0
0,76,0,-66.0531,-79.4283,0,0
0,78,0,-66.4907,-79.8659,0,0
2,0,0,-66.8158,-80.1909,0,0
2,2,0,-66.3882,-79.7634,0,0
2,4,0,-65.9396,-79.3148,0,0
2,6,0,-65.4678,-78.843,0,0
2,8,0,-64.9705,-78.3457,1,0
2,10,0,-64.445,-77.8202,1,0
2,12,0,-63.8882,-77.2634,1,0
2,14,0,-63.2965,-76.6717,1,0
2,16,0,-62.666,-76.0412,1,0
2,18,0,-61.992,-75.3672,1,0
2,20,0,-61.2694,-74.6446,1,0
2,22,0,-60.4925,-73.8677,1,0
2,24,0,-59.6557,-73.0309,1,0
2,26,0,-58.754,-72.1291,1,0
2,28,0,-57.7849,-71.16,1,0
2,30,0,-56.7527,-70.1278,1,0
2,32,0,-55.6763,-69.0515,1,0
2,34,0,-54.6042,-67.9794,1,0
2,36,0,-60.6351,-74.0103,1,0
2,38,0,-73.9293,-87.3045,0,0
2,40,0,-45.666,-59.0412,1,1
2,42,0,-73.9293,-87.3045,0,0
2,44,0,-60.6351,-74.0103,1,0
2,46,0,-54.6042,-67.9794,1,0
2,48,0,-55.6763,-69.0515,1,0
2,50,0,-56.7527,-70.1278,1,0
2,52,0,-57.7849,-71.16,1,0
2,54,0,-58.754,-72.1291,1,0
2,56,0,-59.6557,-73.0309,1,0
2,58,0,-60.4925,-73.8677,1,0
2,60,0,-61.2694,-74.6446,1,0
2,62,0,-61.992,-75.3672,1,0
2,64,0,-62.666,-76.0412,1,0
2,66,0,-63.2965,-76.6717,1,0
2,68,0,-63.8882,-77.2634,1,0
2,70,0,-64.445,-77.8202,1,0
2,72,0,-64.9705,-78.3457,1,0
2,74,0,-65.4678,-78.843,0,0
2,76,0,-65.9396,-79.3148,0,0
2,78,0,-66.3882,-79.7634,0,0
4,0,0,-66.7421,-80.1172,0,0
4,2,0,-66.3068,-79.682,0,0
4,4,0,-65.8493,-79.2244,0,0
4,6,0,-65.367,-78.7422,0,0
4,8,0,-64.8573,-78.2325,1,0
4,10,0,-64.317,-77.6922,1,0
4,12,0,-63.7424,-77.1175,1,0
4,14,0,-63.129,-76.5042,1,0
4,16,0,-62.4717,-75.8469,1,0
4,18,0,-61.7643,-75.1394,1,0
4,20,0,-60.9991,-74.3743,1,0
4,22,0,-60.1672,-73.5424,1,0
4,24,0,-59.2581,-72.6332,1,0
4,26,0,-58.2591,-71.6343,1,0
4,28,0,-57.1569,-70.5321,1,0
4,30,0,-55.9396,-69.3148,1,0
4,32,0,-54.6042,-67.9794,1,0
4,34,0,-53.1775,-66.5527,1,0
4,36,0,-51.7643,-65.1394,1,0
4,38,0,-64.6248,-78,1,0
4,40,0,-43.1672,-56.5424,1,1
4,42,0,-64.6248,-78,1,0
4,44,0,-51.7643,-65.1394,1,0
4,46,0,-53.1775,-66.5527,1,0
4,48,0,-54.6042,-67.9794,1,0
4,50,0,-55.9396,-69.3148,1,0
4,52,0,-57.1569,-70.5321,1,0
4,54,0,-58.2591,-71.6343,1,0
4,56,0,-59.2581,-72.6332,1,0
4,58,0,-60.1672,-73.5424,1,0
4,60,0,-60.9991,-74.3743,1,0
4,62,0,-61.7643,-75.1394,1,0
4,64,0,-62.4717,-75.8469,1,0
4,66,0,-63.129,-76.5042,1,0
4,68,0,-63.7424,-77.1175,1,0
4,70,0,-64.317,-77.6922,1,0
4,72,0,-64.8573,-78.2325,1,0
4,74,0,-65.367,-78.7422,0,0
4,76,0,-65.8493,-79.2244,0,0
4,78,0,-66.3068,-79.682,0,0
6,0,0,-66.6886,-80.0638,0,0
6,2,0,-66.2478,-79.6229,0,0
6,4,0,-65.7836,-79.1587,0,0
6,6,0,-65.2935,-78.6687,0,0
6,8,0,-64.7746,-78.1497,1,0
6,10,0,-64.2232,-77.5984,1,0
6,12,0,-63.6351,-77.0103,1,0
6,14,0,-63.0053,-76.3805,1,0
6,16,0,-62.3274,-75.7026,1,0
6,18,0,-61.5939,-74.9691,1,0
6,20,0,-60.7952,-74.1703,1,0
6,22,0,-59.919,-73.2942,1,0
6,24,0,-58.9499,-72.3251,1,0
6,26,0,-57.8676,-71.2428,1,0
6,28,0,-56.6454,-70.0206,1,0
6,30,0,-55.2488,-68.624,1,0
6,32,0,-53.6351,-67.0103,1,0
6,34,0,-51.7643,-65.1394,1,0
6,36,0,-49.6557,-63.0309,1,1
6,38,0,-54.6145,-67.9897,1,0
6,40,0,-39.6454,-53.0206,1,1
6,42,0,-54.6145,-67.9897,1,0
6,44,0,-49.6557,-63.0309,1,1
6,46,0,-51.7643,-65.1394,1,0
6,48,0,-53.6351,-67.0103,1,0
6,50,0,-55.2488,-68.624,1,0
6,52,0,-56.6454,-70.0206,1,0
6,54,0,-57.8676,-71.2428,1,0
6,56,0,-58.9499,-72.3251,1,0
6,58,0,-59.919,-73.2942,1,0
6,60,0,-60.7952,-74.1703,1,0
6,62,0,-61.5939,-74.9691,1,0
6,64,0,-62.3274,-75.7026,1,0
6,66,0,-63.0053,-76.3805,1,0
6,68,0,-63.6351,-77.0103,1,0
6,70,0,-64.2232,-77.5984,1,0
6,72,0,-64.7746,-78.1497,1,0
6,74,0,-65.2935,-78.6687,0,0
6,76,0,-65.7836,-79.1587,0,0
6,78,0,-66.2478,-79.6229,0,0
8,0,0,-66.6563,-80.0314,0,0
8,2,0,-66.2119,-79.5871,0,0
8,4,0,-65.7437,-79.1188,0,0
8,6,0,-65.2488,-78.624,0,0
8,8,0,-64.7242,-78.0993,1,0
8,10,0,-64.1659,-77.5411,1,0
8,12,0,-63.5695,-76.9447,1,0
8,14,0,-62.9293,-76.3045,1,0
8,16,0,-62.2385,-75.6137,1,0
8,18,0,-61.4884,-74.8636,1,0
8,20,0,-60.668,-74.0432,1,0
8,22,0,-59.763,-73.1381,1,0
8,24,0,-58.754,-72.1291,1,0
8,26,0,-57.6145,-70.9897,1,0
8,28,0,-56.3068,-69.682,1,0
8,30,0,-54.7746,-68.1497,1,0
8,32,0,-52.9293,-66.3045,1,0
8,34,0,-50.6248,-64,1,1
8,36,0,-47.6145,-60.9897,1,1
8,38,0,-43.6351,-57.0103,1,1
8,40,0,-33.6248,-47,1,1
8,42,0,-43.6351,-57.0103,1,1
8,44,0,-47.6145,-60.9897,1,1
8,46,0,-50.6248,-64,1,1
8,48,0,-52.9293,-66.3045,1,0
8,50,0,-54.7746,-68.1497,1,0
8,52,0,-56.3068,-69.682,1,0
8,54,0,-57.6145,-70.9897,1,0
8,56,0,-58.754,-72.1291,1,0
8,58,0,-59.763,-73.1381,1,0
8,60,0,-60.668,-74.0432,1,0
8,62,0,-61.4884,-74.8636,1,0
8,64,0,-62.2385,-75.6137,1,0
8,66,0,-62.9293,-76.3045,1,0
8,68,0,-63.5695,-76.9447,1,0
8,70,0,-64.1659,-77.5411,1,0
8,72,0,-64.7242,-78.0993,1,0
8,74,0,-65.2488,-78.624,0,0
