City,Year,Month,Day,AvgTemperature,ÈÕÆÚ
Beijing,2018,1,1,26.7,2018/1/1
Beijing,2018,1,2,27.1,2018/1/2
Beijing,2018,1,3,26.1,2018/1/3
Beijing,2018,1,4,-99,2018/1/4
Beijing,2018,1,5,27.3,2018/1/5
Beijing,2018,1,6,29.5,2018/1/6
Beijing,2018,1,7,31.6,2018/1/7
Beijing,2018,1,8,26.5,2018/1/8
Beijing,2018,1,9,26.4,2018/1/9
Beijing,2018,1,10,20.6,2018/1/10
Beijing,2018,1,11,16.1,2018/1/11
Beijing,2018,1,12,22.4,2018/1/12
Beijing,2018,1,13,25.6,2018/1/13
Beijing,2018,1,14,32.4,2018/1/14
Beijing,2018,1,15,29.6,2018/1/15
Beijing,2018,1,16,32.7,2018/1/16
Beijing,2018,1,17,29.6,2018/1/17
Beijing,2018,1,18,27.1,2018/1/18
Beijing,2018,1,19,33.3,2018/1/19
Beijing,2018,1,20,30.3,2018/1/20
Beijing,2018,1,21,24.5,2018/1/21
Beijing,2018,1,22,19.9,2018/1/22
Beijing,2018,1,23,15.3,2018/1/23
Beijing,2018,1,24,17.9,2018/1/24
Beijing,2018,1,25,14.8,2018/1/25
Beijing,2018,1,26,16.1,2018/1/26
Beijing,2018,1,27,18.4,2018/1/27
Beijing,2018,1,28,22,2018/1/28
Beijing,2018,1,29,28.6,2018/1/29
Beijing,2018,1,30,32.2,2018/1/30
Beijing,2018,1,31,28.1,2018/1/31
Beijing,2018,2,1,30.5,2018/2/1
Beijing,2018,2,2,20.9,2018/2/2
Beijing,2018,2,3,21.4,2018/2/3
Beijing,2018,2,4,24.8,2018/2/4
Beijing,2018,2,5,19.7,2018/2/5
Beijing,2018,2,6,23.8,2018/2/6
Beijing,2018,2,7,23.4,2018/2/7
Beijing,2018,2,8,23.8,2018/2/8
Beijing,2018,2,9,26.7,2018/2/9
Beijing,2018,2,10,25.1,2018/2/10
Beijing,2018,2,11,25.5,2018/2/11
Beijing,2018,2,12,28.4,2018/2/12
Beijing,2018,2,13,33.1,2018/2/13
Beijing,2018,2,14,31.2,2018/2/14
Beijing,2018,2,15,28.1,2018/2/15
Beijing,2018,2,16,32.7,2018/2/16
Beijing,2018,2,17,27.5,2018/2/17
Beijing,2018,2,18,33.4,2018/2/18
Beijing,2018,2,19,34.2,2018/2/19
Beijing,2018,2,20,33.7,2018/2/20
Beijing,2018,2,21,35,2018/2/21
Beijing,2018,2,22,33.4,2018/2/22
Beijing,2018,2,23,39.2,2018/2/23
Beijing,2018,2,24,28.2,2018/2/24
Beijing,2018,2,25,31.5,2018/2/25
Beijing,2018,2,26,36.3,2018/2/26
Beijing,2018,2,27,36.7,2018/2/27
Beijing,2018,2,28,38,2018/2/28
Beijing,2018,3,1,37.5,2018/3/1
Beijing,2018,3,2,36.9,2018/3/2
Beijing,2018,3,3,45,2018/3/3
Beijing,2018,3,4,34.8,2018/3/4
Beijing,2018,3,5,34.7,2018/3/5
Beijing,2018,3,6,32,2018/3/6
Beijing,2018,3,7,30.3,2018/3/7
Beijing,2018,3,8,35,2018/3/8
Beijing,2018,3,9,36.2,2018/3/9
Beijing,2018,3,10,40.1,2018/3/10
Beijing,2018,3,11,39.7,2018/3/11
Beijing,2018,3,12,42,2018/3/12
Beijing,2018,3,13,51.6,2018/3/13
Beijing,2018,3,14,54.2,2018/3/14
Beijing,2018,3,15,43,2018/3/15
Beijing,2018,3,16,41.1,2018/3/16
Beijing,2018,3,17,33.6,2018/3/17
Beijing,2018,3,18,42.2,2018/3/18
Beijing,2018,3,19,49.2,2018/3/19
Beijing,2018,3,20,43.7,2018/3/20
Beijing,2018,3,21,41.8,2018/3/21
Beijing,2018,3,22,52.1,2018/3/22
Beijing,2018,3,23,53,2018/3/23
